programmeref,name,genre,subgenre,tags,synopsis,classification,description,
e1ddc8cb-e6f8-4097-aa55-ee7b27ddca95,Alesha Dixon's Talented Brits! Top 20,music,pop,female_solo_singer,british_pop_artist,pop_music_video,pop_music_countdown,
1b21bb43-5e0d-4991-ade4-76202ffe7d7a,Year 2008!,music,pop,guilty_pleasure,music_video,It's time to go back in time and take a look at all the hits from the year 2008!,,
b57d0b20-1973-42fd-9388-e06e41d0ae0e,2015's Hottest Dance Hits Top 20,music,club & dance,2010s_dance_music,dance_music_video,dance_music_countdown,new_dance_music_video,
7a7a07d2-92ed-4f6f-9178-a6caa74098ae,Metal Evolution,music,features,metal,metal_music_documentary,metal_music,air_guitar_rock,
9a48fb18-172b-4535-918f-9cbf1a162185,All Time Biggest-Selling Female Hits: The Official Top 40,music,pop,pop_music_video,girlband,pop_music_countdown,female_solo_singer,
e5d72952-04af-404f-bada-83bccde4feb2,Official K! Chart Of 2015: Top 40,music,rock,rock_music_countdown,rock_music,music_review_of_the_year,rock_music_video,
dc20bc70-8e0c-4e02-b8ad-cad3e62012f7,"Party All Day, Dance All Night!",music,pop,pop_music,pop_music_picks,pop_music_video,party_playlist,
2980b803-d109-49b5-8dae-5b655707f324,Saturday Night Mash Up!,music,club & dance,dance_music,party_playlist,music_video,"It's time for the Saturday Night Mash-Up! Classic anthems & new dancefloor smashes! As long as they're big tunes, we're playing them all right now!",
6e3381a8-fe9d-405a-9313-bfb0ee9aa709,Discovering: Discovering: Rod Stewart,music,features,musician_bio,band_bio,classic_pop_music_documentary,music_documentary,
88a70253-792e-450c-bcda-87498c9e8eb7,Guitar Star: Final,music,features,air_guitar_rock,talent_show,arts_&_music,uk_talent_show,
c0d95f92-373c-4b58-ac99-8ef540629539,Wake Up In The 60s,music,gold,1960s_music,music_video,"Set the alarm clock for a revolutionary ride on our magical mystery tour as it makes its way through the 60s, taking in everything from bubblegum pop to prog rock.",,
9315d313-845f-4343-aa0d-3752bf9bb502,Mark Goodier-20 Xmas Floorfillers,music,pop,party_playlist,christmas_music,music_video,"...Floorfillers. Mr Charts himself, Mark Goodier is here with his exclusive selection of classic Christmas floorfillers - and some wise cracker jokes thrown in too!",
8ef0721c-25b0-4b1f-aac2-4dc6d2e09c4d,UK HOTLIST Top 40,music,pop,pop_music_video,2010_pop_music,chart_countdown,pop_music_countdown,
913f989e-5b3f-4c30-ad84-ca38adfc0572,Christmas Is Magic!,music,pop,gold,pop_music_video,classic_pop_music,pop_music_picks,
e1ca79c5-0060-4614-9afc-13f3a02c5ecc,Sigala: Brand New Video,music,club & dance,new_dance_music_video,dance_music,djs_&_mcs,dance_music_video,
3c6da8e9-322a-4045-82c4-b4580fe1a9f3,#Request,music,pop,pop_music_video,music_request_show,pop_anthems,It's time for a Winter Dance party and YOU are in control of the tunes! Tweet us using the hashtags on screen to vote for your dance anthems!,
59ceb0a3-3262-4016-a541-92814c09c2c0,Sky Arts Sessions: Everything Everything/Gaz Coombes/Katzenjammer,music,features,music_covers,studio_performance,acoustic_music,music_mag,
e22f4d4d-0780-4ee4-b83b-3e664b15c003,The Official UK No.1,music,pop,number_ones,2010_pop_music,pop_music_video,Right now you can catch this week's ultimate chart champion as we present The Official UK Number 1.,
